Provinsi,Luas_2021,Luas_2022,Luas_2023,Luas_2024,Produktivitas_2021,Produktivitas_2022,Produktivitas_2023,Produktivitas_2024,Produksi_2021,Produksi_2022,Produksi_2023,Produksi_2024
ACEH,297058.38,271750.2,254287.38,301081.97,55.03,55.55,55.22,54.58,1634639.6,1509456,1404234.82,1643355.07
SUMATERA UTARA,385405,411462.1,406109.49,419089.12,52,50.76,51.4,51.4,2004142.51,2088584,2087474.15,2154117.08
SUMATERA BARAT,272391.95,271883.1,300564.77,296215.93,48.36,50.52,49.32,45.64,1317209.38,1373532,1482468.79,1352048.77
RIAU,53062.35,51054.04,51914.14,57003.35,40.98,41.83,39.68,39.62,217458.87,213557.2,205972.55,225836.5
JAMBI,64412.26,60539.59,61236.64,64119.24,46.29,45.88,45.06,45.44,298149.25,277743.8,275941.45,291367.31
SUMATERA SELATAN,496241.65,513378.2,504143.03,521251.99,51.44,54.06,56.19,54.53,2552443.19,2775069,2832773.92,2842559.41
BENGKULU,55704.69,57151.84,57877.18,56868.57,48.67,49.27,49.53,47.86,271117.19,281610.1,286684.43,272177.1
LAMPUNG,489573.23,518256.1,530108.09,531435.03,50.77,51.87,52.03,51.37,2485452.78,2688160,2757898.19,2729901.42
KEP. BANGKA BELITUNG,18278.27,15107.8,15284.56,19078.1,38.57,40.66,43.49,39.65,70496.25,61425.07,66468.89,75644.48
KEP. RIAU,270.16,179.48,115.27,118.56,31.65,28.24,28.11,29.96,855.01,506.91,324.01,355.2
DKI JAKARTA,559.97,477.25,542.93,513.27,58.03,48.98,49.26,14.79,3249.47,2337.77,2674.28,759.31
JAWA BARAT,1604109.31,1662404,1583656.28,1470616.28,56.81,56.75,57.71,57.9,9113573.08,9433723,9140039.2,8514667.14
JAWA TENGAH,1696712.36,1688670,1642761.23,1551687.48,56.69,55.41,55.3,56.91,9618656.81,9356445,9084107.53,8830154.56
DI YOGYAKARTA,107506.16,110927.2,105693.66,97467.3,51.77,50.64,50.53,46.61,556531.03,561699.5,534113.69,454274.19
JAWA TIMUR,1747481.2,1693211,1698083.31,1616234.53,56.02,56.26,57.19,57.09,9789587.67,9526516,9710661.33,9226339.61
BANTEN,318248.46,337240.7,311199.73,298835.05,50.38,53.04,54.19,51.01,1603247,1788583,1686483.29,1524347.86
BALI,105201.31,112320.6,108514.06,107225.38,58.83,60.59,62.07,60.43,618910.81,680601.6,673580.65,647966.26
NUSA TENGGARA BARAT,276211.88,270092.9,287512.14,280026.66,51.39,53.79,53.51,51.9,1419559.84,1452945,1538536.92,1453450.83
NUSA TENGGARA TIMUR,174900.07,183092,184698.89,167831.69,41.85,41.29,41.52,42.12,731877.74,756049.9,766810.46,706906.05
KALIMANTAN BARAT,223165.74,241478.6,224068.52,255109.12,31.9,30.28,31.25,31.36,711898.01,731225.8,700290.8,799992.83
KALIMANTAN TENGAH,125870.05,108226.8,101580.3,110804.62,30.28,31.78,32.56,34.13,381189.55,343918.8,330781.05,378178.03
KALIMANTAN SELATAN,254263.59,214908.9,214283.82,240644.42,39.97,38.13,40.86,40.7,1016313.55,819419.2,875545.73,979359.38
KALIMANTAN TIMUR,66269.46,64970.01,57082.01,61939.27,36.92,36.85,39.76,37.02,244677.96,239425.3,226972.07,229275.0
KALIMANTAN UTARA,8880.83,8604.19,6499.92,9412.52,33.74,35.49,36.31,36.37,29967.31,30533.59,23602.0,34234.37
SULAWESI UTARA,59182.52,58195.56,54562.95,58875.23,39.35,41.88,43.65,45.06,232884.76,243730.3,238193.41,265295.68
SULAWESI TENGAH,182186.62,168993.2,177699.03,171786.2,47.59,44.05,46.22,44.23,867012.77,744408.7,821367.41,759838.42
SULAWESI SELATAN,985158.23,1038084,967790.21,949778.54,51.67,51.64,50.39,50.5,5090637.23,5360169,4876386.11,4796679.57
SULAWESI TENGGARA,127517.29,118258.8,113930.26,130308.14,41.57,40.5,42.08,42.44,530029.08,478958,479407.25,552972.27
GORONTALO,48713.5,46823.47,49610.47,46229.66,48.12,51.29,50.68,47.32,234392.86,240134.5,251431.76,218781.2
SULAWESI BARAT,59763.18,69323.95,58606.67,64187.41,52.05,50.99,49.73,50.33,311072.46,353513.3,291458.59,323023.96
MALUKU,28319.75,23987.82,22636.68,24043.19,41.24,38.6,35.32,37.12,116803.67,92601.06,79958.34,89239.14
MALUKU UTARA,7781.96,6416.45,7709.07,11732.75,36.05,38.16,34.59,32.48,28050.8,24486.03,26663.23,38113.47
PAPUA BARAT,6414.94,5460.59,5006.27,5145.63,41.98,43.89,45.08,41.51,26926.93,23963.92,22566.81,21360.11
PAPUA BARAT DAYA,-,-,579.83,427.53,-,-,41.34,30.53,-,-,2396.95,1305.12
PAPUA,64984.9,49741.91,840.18,1113.39,44.05,38.99,44.76,43.58,286279.8,193943.5,3760.45,4852.26
PAPUA SELATAN,-,-,44807.86,46736.31,-,-,40.98,45.7,-,-,183627.83,213578.11
PAPUA TENGAH,-,-,2094.2,1457.19,-,-,44.28,46.78,-,-,9273.22,6816.72
PAPUA PEGUNUNGAN,-,-,14.14,26.68,-,-,43.59,42.48,-,-,61.63,113.33
